gene_id,male_mean,female_mean,difference,p_value,p_adj,gene_symbol,gene_title,gene_type
7087,1.0271146,1.0514741,-0.024359465,0.8505421547279942,0.8876224230497514,ICAM5,intercellular adhesion molecule 5,protein-coding
7088,-0.5690918,-0.27954176,-0.28955004,0.6018239869783666,0.6812934904930489,TLE1,"TLE family member 1, transcriptional corepressor",protein-coding
7089,-0.056801002,-0.14288396,0.08608295,0.20223708803612273,0.2749728489367289,TLE2,"TLE family member 2, transcriptional corepressor",protein-coding
7090,-0.28095642,-0.21609944,-0.064856976,0.34205373255565397,0.42827934338270385,TLE3,"TLE family member 3, transcriptional corepressor",protein-coding
7091,0.54128885,0.4083853,0.13290355,0.0028560194733185293,0.006633196696885989,TLE4,"TLE family member 4, transcriptional corepressor",protein-coding
7092,-0.039024334,0.010050288,-0.049074624,0.3094850223046294,0.3941050877979001,TLL1,tolloid like 1,protein-coding
7093,0.5450689,0.54937387,-0.0043049455,0.4098659745425537,0.4982082167383753,TLL2,tolloid like 2,protein-coding
7094,0.33628914,0.1915527,0.14473644,0.00017542480532339416,0.000552538838999508,TLN1,talin 1,protein-coding
7095,-0.21649683,-0.08020075,-0.13629608,0.000499798914191479,0.0014006140886328293,SEC62,"SEC62 homolog, preprotein translocation factor",protein-coding
7096,0.24991414,0.14344326,0.10647088,0.0005379162596039211,0.0014915500783619297,TLR1,toll like receptor 1,protein-coding
7097,0.3137325,0.35534635,-0.041613847,0.4033358451571738,0.491773741380441,TLR2,toll like receptor 2,protein-coding
7098,-0.4559713,-0.5600686,0.10409731,0.0023647412480007107,0.005612732046425325,TLR3,toll like receptor 3,protein-coding
